"date","electricity_kwh","electricity_intervals","electricity_replacement_intervals","electricity_replacement_share","electricity_peak_kw","electricity_baseload_kw_p10","electricity_night_kwh","electricity_daytime_kwh","electricity_feed_in_kwh","feed_in_intervals","feed_in_replacement_intervals","feed_in_replacement_share","heat_meter_kwh","heat_meter_m3","heat_kwh","heat_kwh_prev","heat_volume_m3","heat_volume_per_mwh_m3","heat_approximated_flag","pv_kwh","arrivals","nights","arrivals_compare","nights_compare","weather_station_id","temp_mean_c","temp_max_c","temp_min_c","precipitation_raw_mm","precipitation_mm","precipitation_negative_flag","sunshine_hours","humidity_mean_pct","wind_mean_ms","snow_depth_cm","snow_depth_missing_flag","hdd18","frost_day_flag","ice_day_flag","summer_day_flag","weather_data_available","timestamp_ms","has_guests_flag","occupied_apartments_estimated","electricity_data_available","feed_in_data_available","heat_data_available","pv_data_available","occupancy_data_available","season_cluster","meteorological_season","nights_prev_day","log1p_nights","nights_sq","weekday_iso","weekday_label","is_weekend_flag","occupancy_delta_nights","occupancy_increase_flag","occupancy_drop_flag","electricity_kwh_delta_prev_day","electricity_feed_in_kwh_delta_prev_day","heat_kwh_delta_prev_day","temp_mean_delta_prev_day","hdd18_delta_prev_day","electricity_self_consumption_raw_kwh","feed_in_exceeds_pv_flag","electricity_self_consumption_kwh","real_electricity_kwh","real_electricity_data_available","real_electricity_kwh_delta_prev_day","electricity_autarky_ratio","pv_self_consumption_ratio","pv_feed_in_ratio","heat_weather_baseline_kwh","heat_weather_residual_kwh","heat_weather_residual_delta_prev_day_kwh","real_electricity_modeled_kwh","real_electricity_no_guest_baseline_kwh","real_electricity_guest_impact_kwh","real_electricity_modeled_total_seasonal_kwh","real_electricity_modeled_seasonal_kwh","real_electricity_no_guest_baseline_seasonal_kwh","real_electricity_guest_impact_seasonal_kwh","real_electricity_model_residual_seasonal_kwh","real_electricity_guest_impact_segment","heat_modeled_kwh","heat_no_guest_baseline_kwh","heat_guest_impact_kwh","heat_modeled_total_seasonal_kwh","heat_modeled_seasonal_kwh","heat_no_guest_baseline_seasonal_kwh","heat_guest_impact_seasonal_kwh","heat_model_residual_seasonal_kwh","heat_guest_impact_segment","potential_pv_to_heat_kwh","remaining_heat_after_pv_surplus_kwh","pv_generation_to_load_ratio","potential_pv_to_heat_ratio","electricity_kwh_per_night","real_electricity_kwh_per_night","heat_kwh_per_night","pv_kwh_per_night","heat_to_electricity_ratio","heat_kwh_per_hdd18","heat_kwh_per_hdd18_per_night","heat_weather_adjusted_per_night_kwh","real_electricity_guest_impact_share","heat_guest_impact_share","real_electricity_guest_impact_seasonal_share","heat_guest_impact_seasonal_share","electricity_7d_avg_kwh","real_electricity_7d_avg_kwh","heat_7d_avg_kwh","pv_7d_avg_kwh","nights_7d_avg","temp_mean_7d_avg_c","heat_weather_adjusted_7d_avg_kwh","heat_weather_adjusted_per_night_7d_avg_kwh","real_electricity_no_guest_baseline_seasonal_7d_avg_kwh","real_electricity_guest_impact_seasonal_7d_avg_kwh","heat_no_guest_baseline_seasonal_7d_avg_kwh","heat_guest_impact_seasonal_7d_avg_kwh"
2025-01-01,31.005,96,0,0,5.1,0.418,6.079,17.293,0.848,96,0,0,24724,652.74,436,0,11.15,25.57,0,7.7,0,4,0,4,"19821",-0.3,6.3,-6.8,-1,0,1,5.9,69,0.6,NA,1,18.3,1,0,0,1,1735689600000,1,2,1,1,1,1,1,"winter","winter",NA,1.6094379124341,16,3,"Mi",0,NA,0,0,NA,NA,NA,NA,NA,6.852,0,6.852,37.857,1,NA,0.1809969094223,0.88987012987013,0.11012987012987,395.291861539867,40.7081384601327,NA,35.3720803925203,26.8560521635088,8.51602822901152,37.1989081237718,37.1989081237718,25.6422846123988,11.556623511373,0.658091876228212,"winter",409.313549342483,386.733542397152,22.5800069453315,414.689195382807,414.689195382807,381.885345184956,32.8038501978507,21.3108046171931,"winter",0.848,435.152,0.203396993950921,0.00194495412844037,7.75125,9.46425,109,1.925,11.5170245925456,23.8251366120219,5.95628415300546,10.1770346150332,0.224952537945731,0.0517890067553476,0.30527045226439,0.0752381885271805,31.005,37.857,436,7.7,4,-0.3,40.7081384601327,10.1770346150332,25.6422846123988,11.556623511373,381.885345184956,32.8038501978507
2025-01-02,35.614,96,0,0,5.124,0.61,5.61,21.113,0.366,96,0,0,25160,663.89,421,0,11.09,26.34,0,4.87,2,6,2,6,"19821",-0.2,4.9,-5.2,0,0,0,1.6,70,2.1,NA,1,18.2,1,0,0,1,1.735776e+12,1,3,1,1,1,1,1,"winter","winter",4,1.94591014905531,36,4,"Do",0,2,1,0,4.609,-0.482,-15,0.1,-0.100000000000001,4.504,0,4.504,40.118,1,2.261,0.112268807019293,0.924845995893224,0.0751540041067762,393.191319662577,27.8086803374227,-12.89945812271,39.6196409251264,27.5510138301013,12.0686270950252,40.8437106142413,40.8437106142413,26.2320994460164,14.6116111682249,-0.725710614241351,"winter",419.609972182079,384.856740967328,34.7532312147512,423.606149644167,423.606149644167,380.072146740338,43.5340029038293,-2.60614964416732,"winter",0.366,420.634,0.121391893912957,0.000869358669833729,5.93566666666667,6.68633333333333,70.1666666666667,0.811666666666667,10.4940425744055,23.1318681318681,3.85531135531136,4.63478005623711,0.300828234085079,0.0825492427903828,0.364215842470336,0.103406182669428,33.3095,38.9875,428.5,6.285,5,-0.25,34.2584093987777,7.40590733563515,25.9371920292076,13.084117339799,380.978745962647,38.16892655084
2025-01-03,37.618,96,0,0,4.324,0.864,5.753,23.355,0.66,96,0,0,25581,674.98,420,0,11.22,26.71,0,7.36,0,4,0,4,"19821",-0.9,3.5,-5.3,-1,0,1,5.7,66,1,NA,1,18.9,1,0,0,1,1735862400000,1,2,1,1,1,1,1,"winter","winter",6,1.6094379124341,16,5,"Fr",0,-2,0,1,2.004,0.294,-1,-0.7,0.699999999999999,6.7,0,6.7,44.318,1,4.20000000000001,0.151180107405569,0.910326086956522,0.0896739130434783,407.895112803607,12.104887196393,-15.7037931410297,35.6888984469494,27.1728702179379,8.51602822901152,37.6124980870691,37.6124980870691,26.0558745756961,11.556623511373,6.70550191293086,"winter",420.6233974708,398.043390525469,22.5800069453315,425.556492083694,425.556492083694,392.752641885843,32.8038501978507,-5.55649208369414,"winter",0.66,419.34,0.166072476194774,0.00157142857142857,9.4045,11.0795,105,1.84,9.476961956767,22.2222222222222,5.55555555555556,3.02622179909824,0.192157322735943,0.0537619212984084,0.260765908014193,0.0781044052329778,34.7456666666667,40.7643333333333,425.666666666667,6.64333333333333,4.66666666666667,-0.466666666666667,26.8739019979828,5.94601215678951,25.9767528780371,12.5749527303236,384.903377937046,36.3805677665102
2025-01-04,45.707,96,0,0,5.384,0.486,5.431,28.056,0.85,96,0,0,26001,686.2,466,0,12.37,26.55,0,7.7,0,2,0,2,"19821",-5.4,-0.3,-10.4,-1,0,1,4.7,70,1,NA,1,23.4,1,1,0,1,1735948800000,1,1,1,1,1,1,1,"winter","winter",4,1.09861228866811,4,6,"Sa",1,-2,0,1,8.089,0.19,46,-4.5,4.5,6.85,0,6.85,52.557,1,8.239,0.130334684247579,0.88961038961039,0.11038961038961,502.419497281656,-36.4194972816557,-48.5243844780487,31.8525267634645,27.6808648859849,4.17166187747956,36.1646205166802,36.1646205166802,28.7902672625722,7.37435325410802,16.3923794833198,"winter",493.909290881749,486.052935590555,7.85635529119349,504.19254793951,504.19254793951,478.502847540597,25.6897003989123,-38.1925479395097,"winter",0.85,465.15,0.146507601271001,0.00182403433476395,22.8535,26.2785,233,3.85,8.86656392107616,19.9145299145299,9.95726495726496,-18.2097486408279,0.0793740486991183,0.0168591315261663,0.140311533270697,0.0551281124440178,37.486,43.7125,435.75,6.9075,4,-1.7,11.0505521780732,-0.0929280426148307,26.6801314741709,11.2748028612697,408.303245337934,33.7078509246108
2025-01-05,33.06,96,0,0,5.424,0.64,6.576,16.505,0.006,96,0,0,26467,698.57,487,0,12.47,25.61,0,3.75,0,2,0,2,"19821",-2.9,2.9,-8.6,-1,0,1,1,67,1,NA,1,20.9,1,0,0,1,1736035200000,1,1,1,1,1,1,1,"winter","winter",2,1.09861228866811,4,7,"So",1,0,0,0,-12.647,-0.844,21,2.5,-2.5,3.744,0,3.744,36.804,1,-15.753,0.10172807303554,0.9984,0.0016,449.905950349406,37.0940496505935,73.5135469322493,31.3147284281406,27.1430665506611,4.17166187747955,35.1304791814546,35.1304791814546,27.7561259273465,7.37435325410802,1.67352081854543,"winter",444.712418915155,436.856063623962,7.85635529119361,459.414806712204,459.414806712204,433.725106313292,25.6897003989123,27.5851932877956,"winter",0.006,486.994,0.101891098793609,1.23203285420945e-05,16.53,18.402,243.5,1.875,13.2322573633301,23.3014354066986,11.6507177033493,18.5470248252968,0.113348056664481,0.0161321463884879,0.200368254920879,0.0527509248437624,36.6008,42.3308,446,6.276,3.6,-1.94,16.2592516725772,3.63506253096749,26.895330364806,10.4947129398374,413.387617533005,32.1042208194711
2025-01-06,27.781,96,0,0,3.428,0.71,5.029,16.41,0.117,96,0,0,26954,711.04,407,0,10.53,25.87,0,2.78,0,2,0,2,"19821",3.7,8.6,-1.2,4.7,4.7,0,0.4,70,3.2,NA,1,14.3,1,0,0,1,1736121600000,1,1,1,1,1,1,1,"winter","winter",2,1.09861228866811,4,1,"Mo",0,0,0,0,-5.279,0.111,-80,6.6,-6.6,2.663,0,2.663,30.444,1,-6.36,0.0874720798843779,0.957913669064748,0.0420863309352518,311.270186448268,95.7298135517315,58.635763901138,30.0947610512905,25.923099173811,4.17166187747956,31.2981639930188,31.2981639930188,23.9238107389108,7.37435325410802,-0.854163993018776,"winter",321.339309472207,313.482954181013,7.85635529119355,334.605331888623,334.605331888623,308.915631489711,25.6897003989123,72.394668111377,"winter",0.117,406.883,0.0913152016817764,0.000287469287469287,13.8905,15.222,203.5,1.39,13.3688083037709,28.4615384615385,14.2307692307692,47.8649067758658,0.137027390536052,0.0193030842535468,0.242226818227172,0.0631196569997845,35.1308333333333,40.3496666666667,439.5,5.69333333333333,3.33333333333333,-1,29.504345319103,11.0067032384505,26.4000770938235,9.97465299221583,395.975619859123,31.0351340827113
2025-01-07,34.796,96,0,0,3.464,0.74,4.69,23.72,0,96,0,0,27361,721.57,389,0,10.23,26.3,0,0.66,0,2,0,2,"19821",4.7,8,1.3,10.9,10.9,0,0,95,0.6,NA,1,13.3,0,0,0,1,1.736208e+12,1,1,1,1,1,1,1,"winter","winter",2,1.09861228866811,4,2,"Di",0,0,0,0,7.015,-0.117,-18,1,-1,0.66,0,0.66,35.456,1,5.012,0.0186146209386282,1,0,290.264767675369,98.7352323246312,3.0054187728997,29.6932757518417,25.5216138743621,4.17166187747956,30.7203275634592,30.7203275634592,23.3459743093511,7.37435325410802,4.73567243654085,"winter",303.610466577404,295.754111286211,7.85635529119349,316.221308621696,316.221308621696,290.531608222784,25.6897003989123,72.7786913783035,"winter",0,389,0.0186146209386282,0,17.398,17.728,194.5,0.33,10.971344765343,29.2481203007519,14.6240601503759,49.3676161623156,0.117657431111224,0.0201962860956131,0.207986046201151,0.0660403609226537,35.083,39.6505714285714,432.285714285714,4.97428571428571,3.14285714285714,-0.185714285714286,39.3944720341784,16.4868336561455,25.9637766960417,9.60318160105757,380.91218962536,30.2715006993114
2025-01-08,25.981,96,0,0,5.496,0.358,4.794,14.301,0.962,96,0,0,27750,731.8,407,0,10.42,25.6,0,8.06,0,2,0,2,"19821",2.8,6.8,-1.3,0,0,0,5.3,80,1.5,NA,1,15.2,1,0,0,1,1736294400000,1,1,1,1,1,1,1,"winter","winter",2,1.09861228866811,4,3,"Mi",0,0,0,0,-8.815,0.962,18,-1.9,1.9,7.098,0,7.098,33.079,1,-2.377,0.214577224220805,0.880645161290323,0.119354838709677,330.175063343878,76.8249366561218,-21.9102956685094,29.6726705221373,25.5010086446578,4.17166187747956,31.1280531449642,31.1280531449642,23.7536998908562,7.37435325410802,1.9509468550358,"winter",337.494929099987,329.638573808793,7.85635529119349,351.102527392511,351.102527392511,325.412826993599,25.6897003989123,55.8974726074886,"winter",0.962,406.038,0.243659119078569,0.00236363636363636,12.9905,16.5395,203.5,4.03,12.3038785936697,26.7763157894737,13.3881578947368,38.4124683280609,0.126112091583166,0.0193030842535467,0.222931565467759,0.0631196569997845,34.3652857142857,38.968,428.142857142857,5.02571428571429,2.85714285714286,0.257142857142857,44.5540146336054,20.5204670437209,25.6939788786785,9.00571442144829,372.844687026595,29.2551935851774
2025-01-09,32.721,96,0,0,4.564,0.7,4.821,21.686,0,96,0,0,28157,742.22,376,0,10.42,27.71,0,1.71,0,0,0,0,"19821",3.4,6.9,-0.1,9.6,9.6,0,0.1,89,1,NA,1,14.6,1,0,0,1,1736380800000,0,0,1,1,1,1,1,"winter","winter",2,0,0,4,"Do",0,-2,0,1,6.74,-0.962,-31,0.6,-0.6,1.71,0,1.71,34.431,1,1.352,0.0496645464842729,1,0,317.571812080138,58.4281879198616,-18.3967487362602,26.1160204168253,26.1160204168253,0,24.1610094049056,24.1610094049056,24.1610094049056,0,10.2699905950944,"winter",318.847143773874,318.847143773874,0,314.419794072026,314.419794072026,314.419794072026,0,61.5802059279744,"winter",0,376,0.0496645464842729,0,NA,NA,NA,NA,10.920391507653,25.7534246575342,NA,NA,0,0,0,0,33.952,38.1555714285714,421.714285714286,4.57428571428571,2,0.771428571428571,48.9282300025253,23.1680815416349,25.3981088728055,6.91834139741615,363.46577950255,23.0360503132017
2025-01-10,25.157,96,0,0,2.74,0.004,5.199,11.896,2.257,96,0,0,28533,752.64,414,0,10.64,25.7,0,7.52,0,0,0,0,"19821",-1.1,4.3,-6.4,-1,0,1,5.8,82,0.6,NA,1,19.1,1,0,0,1,1736467200000,0,0,1,1,1,1,1,"winter","winter",0,0,0,5,"Fr",0,0,0,0,-7.564,2.257,38,-4.5,4.5,5.263,0,5.263,30.42,1,-4.011,0.173011176857331,0.699867021276596,0.300132978723404,412.096196558187,1.9038034418129,-56.5243844780487,27.2497160562476,27.2497160562476,0,26.1684014931735,26.1684014931735,26.1684014931735,0,4.25159850682655,"winter",401.83202163467,401.83202163467,0,396.370543084493,396.370543084493,396.370543084493,0,17.6294569155071,"winter",2.257,411.743,0.247205785667324,0.00545169082125604,NA,NA,NA,NA,13.6094674556213,21.6753926701571,NA,NA,0,0,0,0,32.1718571428571,36.1701428571429,420.857142857143,4.59714285714286,1.42857142857143,0.742857142857143,47.4709323232996,27.1964534901422,25.4141841467308,5.26739518150573,363.982622530929,18.3497859992231
2025-01-11,26.076,96,0,0,3.704,0.676,6.015,13.921,0.694,96,0,0,28947,763.28,471,0,12.02,25.52,0,8.59,0,0,0,0,"19821",-6.2,-0.7,-11.6,-1,0,1,6.2,79,1,NA,1,24.2,1,1,0,1,1736553600000,0,0,1,1,1,1,1,"winter","winter",0,0,0,6,"Sa",1,0,0,0,0.919,-1.563,57,-5.1,5.1,7.896,0,7.896,33.972,1,3.552,0.232426704344754,0.919208381839348,0.0807916181606519,519.223832299975,-48.2238322999755,-50.1276357417884,27.7984310523247,27.7984310523247,0,29.0731546685775,29.0731546685775,29.0731546685775,0,4.89884533142255,"winter",502.10418321594,502.10418321594,0,492.75696265617,492.75696265617,492.75696265617,0,-21.7569626561703,"winter",0.694,470.306,0.252855292593901,0.00147346072186837,NA,NA,NA,NA,13.8643588837866,19.4628099173554,NA,NA,0,0,0,0,29.3674285714286,33.5151428571429,421.571428571429,4.72428571428571,1.14285714285714,0.628571428571429,45.7845987492539,38.5480040228848,25.454596633303,4.21391614520458,366.018924690296,14.6798287993785
2025-01-12,22.508,96,0,0,3.808,0,4.911,11.05,2.791,96,0,0,29418,775.3,483,0,12.35,25.57,0,8.29,0,0,0,0,"19821",-4.1,2.7,-10.8,-1,0,1,6.2,59,2.1,NA,1,22.1,1,0,0,1,1.73664e+12,0,0,1,1,1,1,1,"winter","winter",0,0,0,7,"So",1,0,0,0,-3.568,2.097,12,2.1,-2.1,5.499,0,5.499,28.007,1,-5.965,0.196343771200057,0.663329312424608,0.336670687575392,475.112452876886,7.88754712311379,56.1113794230893,26.8103606171227,26.8103606171227,0,27.7320026922483,27.7320026922483,27.7320026922483,0,0.274997307751701,"winter",460.288415270246,460.288415270246,0,455.262599693451,455.262599693451,455.262599693451,0,27.7374003065494,"winter",2.791,480.209,0.295997429214125,0.00577846790890269,NA,NA,NA,NA,17.2456885778555,21.8552036199095,NA,NA,0,0,0,0,27.86,32.2584285714286,421,5.37285714285714,0.857142857142857,0.457142857142857,41.6122412453282,45.2149970887474,25.4511504568604,3.16043710890344,369.09570945889,11.0098715995338
2025-01-13,28.115,96,0,0,5.092,0.44,4.911,17.149,1.456,96,0,0,29901,787.65,521,0,13.14,25.22,0,8.8,0,0,0,0,"19821",-5.9,0,-11.7,-1,0,1,6.2,69,0.6,NA,1,23.9,1,0,0,1,1736726400000,0,0,1,1,1,1,1,"winter","winter",0,0,0,1,"Mo",0,0,0,0,5.607,-1.335,38,-1.8,1.8,7.344,0,7.344,35.459,1,7.45200000000001,0.207112439719112,0.834545454545455,0.165454545454545,512.922206668106,8.07779333189444,0.19024620878065,29.4391383336812,29.4391383336812,0,29.1730843560906,29.1730843560906,29.1730843560906,0,6.2859156439094,"winter",495.561428219808,495.561428219808,0,482.520516605127,482.520516605127,482.520516605127,0,38.4794833948734,"winter",1.456,519.544,0.248173947375843,0.00279462571976967,NA,NA,NA,NA,14.693025748047,21.7991631799163,NA,NA,0,0,0,0,27.9077142857143,32.9748571428571,437.285714285714,6.23285714285714,0.571428571428571,-0.914285714285714,29.0905240710658,43.8900422451883,26.2010466878861,2.10695807260229,393.896407332521,7.33991439968923
2025-01-14,25.504,96,0,0,2.424,0.414,5.051,13.122,0.595,96,0,0,30422,800.79,527,0,13.45,25.52,0,5.75,0,0,0,0,"19821",-7.3,-2.1,-12.4,-1,0,1,2.5,76,1,NA,1,25.3,1,1,0,1,1736812800000,0,0,1,1,1,1,1,"winter","winter",0,0,0,2,"Di",0,0,0,0,-2.611,-0.861,6,-1.4,1.4,5.155,0,5.155,30.659,1,-4.8,0.16813986105222,0.896521739130435,0.103478260869565,542.329792950165,-15.3297929501651,-23.4075862820596,30.7363279494469,30.7363279494469,0,30.6296538340477,30.6296538340477,30.6296538340477,0,0.0293461659523366,"winter",523.912655827567,523.912655827567,0,507.401783567664,507.401783567664,507.401783567664,0,19.5982164323362,"winter",0.595,526.405,0.18754688672168,0.00112903225806452,NA,NA,NA,NA,17.1890798786653,20.8300395256917,NA,NA,0,0,0,0,26.5802857142857,32.2895714285714,457,6.96,0.285714285714286,-2.62857142857143,12.7955204603806,38.4124683280609,27.2415723342713,1.05347903630115,424.877860953218,3.66995719984461
2025-01-15,26.681,96,0,0,3.428,0.616,5.354,14.34,1.008,96,0,0,30949,814.24,509,0,12.64,24.83,0,6.6,0,0,0,0,"19821",-3.1,3.7,-9.9,-1,0,1,3.3,70,1,NA,1,21.1,1,0,0,1,1736899200000,0,0,1,1,1,1,1,"winter","winter",0,0,0,3,"Mi",0,0,0,0,1.177,0.413,-18,4.2,-4.2,5.592,0,5.592,32.273,1,1.614,0.173271775168097,0.847272727272727,0.152727272727273,454.107034103987,54.8929658960135,70.2227588461786,28.6221382158433,28.6221382158433,0,27.8257351440046,27.8257351440046,27.8257351440046,0,4.44726485599536,"winter",440.232080386804,440.232080386804,0,432.424951609046,432.424951609046,432.424951609046,0,76.5750483909541,"winter",1.008,507.992,0.2045053140396,0.0019803536345776,NA,NA,NA,NA,15.7716977039631,24.1232227488152,NA,NA,0,0,0,0,26.6802857142857,32.1744285714286,471.571428571429,6.75142857142857,0,-3.47142857142857,9.66238178036509,NA,27.8232916561497,0,440.165307326854,0
2025-01-16,26.126,96,0,0,2.912,0.56,4.767,14.339,0.968,96,0,0,31458,826.88,478,0,11.89,24.87,0,5.83,0,0,0,0,"19821",-0.5,3.9,-4.9,-1,0,1,3,74,0.6,NA,1,18.5,1,0,0,1,1736985600000,0,0,1,1,1,1,1,"winter","winter",0,0,0,4,"Do",0,0,0,0,-0.555,-0.04,-31,2.6,-2.6,4.862,0,4.862,30.988,1,-1.285,0.156899444946431,0.833962264150943,0.166037735849057,399.492945294447,78.5070547055528,23.6140888095393,27.4505812388167,27.4505812388167,0,26.2108667950688,26.2108667950688,26.2108667950688,0,4.77713320493124,"winter",390.49415090671,390.49415090671,0,385.510042936075,385.510042936075,385.510042936075,0,92.4899570639249,"winter",0.968,477.032,0.188137343487802,0.00202510460251046,NA,NA,NA,NA,15.4253259326191,25.8378378378378,NA,NA,0,0,0,0,25.7381428571429,31.6825714285714,486.142857142857,7.34,0,-4.02857142857143,12.5307913211781,NA,28.116128426173,0,450.321057164575,0
2025-01-17,29.336,96,0,0,4.772,0.564,5.013,18.698,0.387,96,0,0,31936,838.77,477,0,11.82,24.78,0,3.64,0,0,0,0,"19821",-1.6,2.5,-5.6,-1,0,1,2.8,78,0.6,NA,1,19.6,1,0,0,1,1.737072e+12,0,0,1,1,1,1,1,"winter","winter",0,0,0,5,"Fr",0,0,0,0,3.21,-0.581,-1,-1.1,1.1,3.253,0,3.253,32.589,1,1.601,0.0998189573168861,0.893681318681319,0.106318681318681,422.598905944637,54.401094055363,-24.1059606501897,28.00265415877,28.00265415877,0,26.9437786574921,26.9437786574921,26.9437786574921,0,5.64522134250788,"winter",411.344465698818,411.344465698818,0,405.405384442098,405.405384442098,405.405384442098,0,71.5946155579016,"winter",0.387,476.613,0.111694129921139,0.000811320754716981,NA,NA,NA,NA,14.6368406517537,24.3367346938775,NA,NA,0,0,0,0,26.3351428571429,31.9924285714286,495.142857142857,6.78571428571429,0,-4.1,20.030404265971,NA,28.2268965925042,0,451.61174878709,0
2025-01-18,29.254,96,0,0,3.024,0.52,5.979,15.348,1.104,96,0,0,32413,850.59,491,0,12.48,25.42,0,9.46,0,0,0,0,"19821",-3.5,3.2,-10.1,-1,0,1,6.6,73,1,NA,1,21.5,1,0,0,1,1737158400000,0,0,1,1,1,1,1,"winter","winter",0,0,0,6,"Sa",1,0,0,0,-0.0819999999999972,0.717,14,-1.9,1.9,8.356,0,8.356,37.61,1,5.021,0.222174953469822,0.883298097251586,0.116701902748414,462.509201613146,28.4907983868537,-25.9102956685094,26.4590303468938,26.4590303468938,0,27.2880090446048,27.2880090446048,27.2880090446048,0,10.3219909553952,"winter",448.530205547639,448.530205547639,0,444.504047832076,444.504047832076,444.504047832076,0,46.4959521679244,"winter",1.104,489.896,0.251528848710449,0.00224847250509165,NA,NA,NA,NA,13.0550385535762,22.8372093023256,NA,NA,0,0,0,0,26.7891428571429,32.5121428571429,498,6.91,0,-3.71428571428571,30.9896372212323,NA,27.9718757890795,0,444.718475240791,0
2025-01-19,32.052,96,0,0,4.6,0.164,7.289,16.378,1.711,96,0,0,32904,863.07,453,0,11.06,24.42,0,8.24,2,2,2,2,"19821",-2,4,-8,0,0,0,3.9,72,0.6,NA,1,20,1,0,0,1,1737244800000,1,1,1,1,1,1,1,"winter","winter",0,1.09861228866811,4,7,"So",1,2,1,0,2.798,0.607,-38,1.5,-1.5,6.529,0,6.529,38.581,1,0.971000000000004,0.169228376662088,0.792354368932039,0.207645631067961,431.001073453797,21.9989265462032,-6.49187184065045,30.4583539354559,26.2191806636192,4.23917327183673,32.7150658228156,32.7150658228156,26.7404930859002,5.97457273691541,5.86593417718441,"winter",429.765140965215,419.502477861438,10.262663103777,444.902672024263,444.902672024263,417.518463427476,27.3842085967875,8.09732797573673,"winter",1.711,451.289,0.213576630984163,0.00377704194260486,16.026,19.2905,226.5,4.12,11.7415308053187,22.65,11.325,10.9994632731016,0.109877226402549,0.0226548854388012,0.15485790251459,0.0604507916043873,28.1525714285714,34.0227142857143,493.714285714286,6.90285714285714,0.285714285714286,-3.41428571428571,33.0055485673879,10.9994632731016,27.8302315596012,0.853510390987915,439.326455774223,3.91202979954107
2025-01-20,30.735,96,0,0,4.62,0.42,6.283,14.2,0.999,96,0,0,33357,874.13,426,0,10.58,24.84,0,5.99,2,4,2,4,"19821",1.4,5.3,-2.6,-1,0,1,2.2,76,0.2,NA,1,16.6,1,0,0,1,1737331200000,1,2,1,1,1,1,1,"winter","winter",2,1.6094379124341,16,1,"Mo",0,2,1,0,-1.317,-0.712,-27,3.4,-3.4,4.991,0,4.991,35.726,1,-2.855,0.139702177685719,0.83322203672788,0.16677796327212,359.582649625938,66.4173503740622,44.4184238278589,35.2782012363926,26.6946616130239,8.58353962336869,35.2759013099551,35.2759013099551,25.1190583157747,10.1568429941804,0.450098690044896,"winter",380.131822310689,355.145507552774,24.986314757915,385.482302427519,385.482302427519,350.983944031793,34.4983583957259,40.5176975724813,"winter",0.999,425.001,0.167665005878072,0.00234507042253521,7.68375,8.9315,106.5,1.4975,11.9240888988412,25.6626506024096,6.41566265060241,16.6043375935155,0.240260304074587,0.0586533210279695,0.284298353976947,0.0809820619617978,28.5268571428571,34.0608571428571,480.142857142857,6.50142857142857,0.857142857142857,-2.37142857142857,41.3397710019833,13.8019004333086,27.2510849824133,2.30448796158511,420.535516835175,8.84036671321619
2025-01-21,26.228,96,0,0,3.236,0.562,4.674,14.267,1.12,96,0,0,33783,884.71,390,0,9.96,25.54,0,8.05,0,4,0,4,"19821",2.9,8.5,-2.7,-1,0,1,6.7,75,0.6,NA,1,15.1,1,0,0,1,1737417600000,1,2,1,1,1,1,1,"winter","winter",4,1.6094379124341,16,2,"Di",0,0,0,0,-4.507,0.121,-36,1.5,-1.5,6.93,0,6.93,33.158,1,-2.568,0.208999336510043,0.860869565217391,0.139130434782609,328.074521466588,61.9254785334118,-4.49187184065039,33.7284003899653,25.2123721609538,8.51602822901153,35.0336332319807,35.0336332319807,23.4770097206077,11.556623511373,-1.87563323198074,"winter",350.414171040046,327.834164094714,22.5800069453315,356.385920986285,356.385920986285,323.582070788435,32.8038501978507,33.6140790137147,"winter",1.12,388.88,0.24277700705712,0.00287179487179487,6.557,8.2895,97.5,2.0125,11.7618674226431,25.8278145695364,6.45695364238411,15.4813696333529,0.256831782043897,0.0578974537059783,0.348531983574794,0.0841124364047454,28.6302857142857,34.4178571428571,460.571428571429,6.83,1.42857142857143,-0.914285714285714,52.37623835678,14.36172349999,26.2292786804933,3.95543417749554,394.275557866714,13.5266310271949
2025-01-22,21.539,96,0,0,2.3,0.196,4.602,9.091,1.738,96,0,0,34173,894.67,394,0,10.25,26.02,0,8.04,0,4,0,4,"19821",0.9,7.5,-5.8,-1,0,1,4.6,74,0.6,NA,1,17.1,1,0,0,1,1.737504e+12,1,2,1,1,1,1,1,"winter","winter",4,1.6094379124341,16,3,"Mi",0,0,0,0,-4.689,0.618,4,-2,2,6.302,0,6.302,27.841,1,-5.317,0.226356811896124,0.783830845771144,0.216169154228856,370.085359012388,23.9146409876123,-38.0108375457995,35.0317981179612,26.5157698889497,8.51602822901153,36.6301595141196,36.6301595141196,25.0735360027466,11.556623511373,-8.78915951411957,"winter",386.946056482638,364.366049537306,22.5800069453315,392.893433008807,392.893433008807,360.089582810956,32.8038501978507,1.10656699119346,"winter",1.738,392.262,0.28878273050537,0.00441116751269036,5.38475,6.96025,98.5,2.01,14.1517905247656,23.0409356725146,5.76023391812865,5.97866024690308,0.305880831471985,0.0573096622977958,0.415093693163787,0.0832585030402302,27.8957142857143,33.7847142857143,444.142857142857,7.03571428571429,2,-0.342857142857143,47.9507633698656,12.2659576867183,25.8361073745993,5.60638039340597,383.941933752701,18.2128953411735
